field_1,id,latitude,longitude,place_town,place_coun,DN_AM1,DN_AF1,DN_PM1,area_id,city_id,grade,fill,label,name,category_i,sheets,area,bounds,label_coor,residentia,commercial,industrial
"260","135557424",45.518579399300002,-122.714394063000000,Portland,Multnomah,16.333896636962891,27.797536849975582,27.512832641601562,"6074","128",A,#76a865,A7,Arlington Heights,"1","1",0.000057096694242,"[ [ 45.518150, -122.723550 ], [ 45.523990, -122.704650 ] ]","45.521,-122.712","1","0","0"
"431","191216774",45.549019999999999,-122.644363333300007,Portland,Multnomah,15.745378494262695,31.192390441894531,29.236730575561523,"6125","128",B,#7cb5bd,B10,Irvington and Alameda,"2","1",0.000098362473879,"[ [ 45.542960, -122.650290 ], [ 45.554250, -122.630670 ] ]","45.55,-122.648","1","0","0"
"432","191218932",45.551811666699997,-122.644486666700004,Portland,Multnomah,15.778588294982910,31.241758346557617,29.477525711059570,"6125","128",B,#7cb5bd,B10,Irvington and Alameda,"2","1",0.000098362473879,"[ [ 45.542960, -122.650290 ], [ 45.554250, -122.630670 ] ]","45.55,-122.648","1","0","0"
"190","97048927",45.536949999999997,-122.644700000000000,Portland,Multnomah,16.713363647460938,31.430202484130859,29.296445846557617,"6126","128",B,#7cb5bd,B11,Irvington,"2","1",0.000220644869016,"[ [ 45.535420, -122.657690 ], [ 45.548160, -122.638170 ] ]","45.542,-122.647","1","0","0"
"188","97041514",45.479836666700002,-122.621566666700005,Portland,Multnomah,15.624147415161133,31.243930816650391,29.019298553466797,"6050","128",B,#7cb5bd,B16,Berkeley,"2","1",0.000064390740321,"[ [ 45.464400, -122.626580 ], [ 45.480710, -122.621420 ] ]","45.477,-122.624","1","0","0"
"369","188315192",45.480019524699998,-122.621715199299999,Portland,Multnomah,15.633128166198730,31.281362533569336,29.090034484863281,"6050","128",B,#7cb5bd,B16,Berkeley,"2","1",0.000064390740321,"[ [ 45.464400, -122.626580 ], [ 45.480710, -122.621420 ] ]","45.477,-122.624","1","0","0"
"446","191619039",45.540520000000001,-122.622016666700006,Portland,Multnomah,15.768441200256348,31.251102447509766,28.412826538085938,"6122","128",B,#7cb5bd,B17,Grant HI and Hollywood,"2","1",0.000131139727338,"[ [ 45.535390, -122.638310 ], [ 45.546250, -122.607900 ] ]","45.54,-122.623","1","0","0"
"182","95995137",45.545412618699999,-122.610398205099997,Portland,Multnomah,15.247249603271484,31.550426483154297,28.900814056396484,"6121","128",B,#7cb5bd,B18,Rose City Park,"2","1",0.000110237048802,"[ [ 45.541210, -122.630680 ], [ 45.556740, -122.604700 ] ]","45.553,-122.623","1","0","0"
"444","191616282",45.555295000000001,-122.626488333300003,Portland,Multnomah,15.467388153076172,31.383068084716797,29.234733581542969,"6121","128",B,#7cb5bd,B18,Rose City Park,"2","1",0.000110237048802,"[ [ 45.541210, -122.630680 ], [ 45.556740, -122.604700 ] ]","45.553,-122.623","1","0","0"
"445","191617260",45.555370000000003,-122.626686666699996,Portland,Multnomah,15.435688018798828,31.360345840454102,29.244104385375977,"6121","128",B,#7cb5bd,B18,Rose City Park,"2","1",0.000110237048802,"[ [ 45.541210, -122.630680 ], [ 45.556740, -122.604700 ] ]","45.553,-122.623","1","0","0"
"211","100119694",45.527008333300003,-122.631591666700004,Portland,Multnomah,16.047489166259766,31.242387771606445,29.244731903076172,"6099","128",B,#7cb5bd,B19,Laurelhurst,"2","1",0.000209131282839,"[ [ 45.516510, -122.631840 ], [ 45.533830, -122.612000 ] ]","45.528,-122.624","1","0","0"
"393","189287845",45.529449788199997,-122.620776910399996,Portland,Multnomah,16.534454345703125,31.164476394653320,29.007863998413082,"6099","128",B,#7cb5bd,B19,Laurelhurst,"2","1",0.000209131282839,"[ [ 45.516510, -122.631840 ], [ 45.533830, -122.612000 ] ]","45.528,-122.624","1","0","0"
"13","72288005",45.551028972200001,-122.616241972200001,Portland,Multnomah,15.164094924926758,31.789978027343754,29.334638595581055,"6095","128",B,#7cb5bd,B21,Rose City Park,"2","1",0.000227635986599,"[ [ 45.542830, -122.620570 ], [ 45.555540, -122.578940 ] ]","45.549,-122.596","1","0","0"
"180","95991266",45.549554494299997,-122.588627804200001,Portland,Multnomah,15.422561645507812,31.643722534179688,29.284307479858398,"6095","128",B,#7cb5bd,B21,Rose City Park,"2","1",0.000227635986599,"[ [ 45.542830, -122.620570 ], [ 45.555540, -122.578940 ] ]","45.549,-122.596","1","0","0"
