field_1,id,latitude,longitude,place_town,place_coun,DN_AM1,DN_AF1,DN_PM1,area_id,city_id,grade,fill,label,name,category_i,sheets,area,bounds,label_coor,residentia,commercial,industrial,OBJECTID,TRACTCE10,GEOID10,CountyFIPS,County10,Diesel_PM2,Diesel_Ran,Ozone_Conc,Ozone_Rank,PM2_5,PM2_5_Rank,Proximity_,Proximit_1,Toxic_Rele,RSEI_Rank,Lead_Risk_,Lead_Ris_1,PTSDFs,PTSDF_Rank,PNPL,PNPL_Rank,PRMP,PRMP_Rank,PWDIS,WDIS_Rank,LEP,LEP_Rank,No_HS_Dipl,No_HS_Di_1,POC,POC_Rank,Poverty,Poverty_Ra,Transporta,Transpor_1,Unaffordab,Unafford_1,Unemployed,Unemploy_1,CVD,CVD_Rank,LBW,LBW_Rank,Environmen,Environm_1,Socioecono,Sensitive_,Environm_2,SHAPE_Leng,SHAPE_Area
"132","146782370",47.258497280000000,-122.505311870000000,Tacoma,Pierce,16.868156433105469,32.308010101318359,29.613536834716797,"4881","172",C,#ffff00,,,"3","0",0.000038604524051,"[ [ 47.255320, -122.505320 ], [ 47.263510, -122.498880 ] ]","47.261,-122.502","1","0","0","152","060906","53053060906","053",Pierce,14.011639000000001,8.000000000000000,54.391929630000000,6.000000000000000,0.431182552000000,5.000000000000000,104000.000000000000000,7.000000000000000,596.269000000000005,5.000000000000000,21.770000000000000,8.000000000000000,1.058394643000000,6.000000000000000,0.212112418000000,8.000000000000000,0.194954976000000,5.000000000000000,,,2.710000000000000,4.000000000000000,7.040000000000000,6.000000000000000,28.420000000000002,6.000000000000000,16.079999999999998,4.000000000000000,21.000000000000000,3.000000000000000,33.759999999999998,7.000000000000000,2.100000000000000,1.000000000000000,198.639999999999986,6.000000000000000,1.350000000000000,3.000000000000000,6.000000000000000,7.000000000000000,3.000000000000000,3.000000000000000,5.000000000000000,7700.613029199963421,3423828.522186050191522
"70","145784528",47.271073950000002,-122.475490030000003,Tacoma,Pierce,16.372259140014648,30.435260772705082,28.206974029541016,"4873","172",A,#76a865,A1,Laburnum Park,"1","1",0.000165111210687,"[ [ 47.268430, -122.497790 ], [ 47.292470, -122.472850 ] ]","47.28,-122.486","1","0","0","150","060500","53053060500","053",Pierce,4.882384000000000,4.000000000000000,54.794338230000001,7.000000000000000,0.403305841000000,4.000000000000000,49394.989999999997963,5.000000000000000,1437.549999999999955,6.000000000000000,53.829999999999998,10.000000000000000,2.376057740000000,8.000000000000000,0.336638268000000,9.000000000000000,0.326007086000000,6.000000000000000,,,1.430000000000000,3.000000000000000,2.930000000000000,2.000000000000000,16.260000000000002,3.000000000000000,10.810000000000000,2.000000000000000,20.000000000000000,2.000000000000000,26.940000000000001,4.000000000000000,3.200000000000000,3.000000000000000,109.620000000000005,1.000000000000000,1.700000000000000,4.000000000000000,4.000000000000000,8.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,12133.213993558836592,6047425.923876481130719
"71","145784706",47.270753489999997,-122.474858510000004,Tacoma,Pierce,16.410419464111328,30.482492446899418,28.475803375244141,"4873","172",A,#76a865,A1,Laburnum Park,"1","1",0.000165111210687,"[ [ 47.268430, -122.497790 ], [ 47.292470, -122.472850 ] ]","47.28,-122.486","1","0","0","150","060500","53053060500","053",Pierce,4.882384000000000,4.000000000000000,54.794338230000001,7.000000000000000,0.403305841000000,4.000000000000000,49394.989999999997963,5.000000000000000,1437.549999999999955,6.000000000000000,53.829999999999998,10.000000000000000,2.376057740000000,8.000000000000000,0.336638268000000,9.000000000000000,0.326007086000000,6.000000000000000,,,1.430000000000000,3.000000000000000,2.930000000000000,2.000000000000000,16.260000000000002,3.000000000000000,10.810000000000000,2.000000000000000,20.000000000000000,2.000000000000000,26.940000000000001,4.000000000000000,3.200000000000000,3.000000000000000,109.620000000000005,1.000000000000000,1.700000000000000,4.000000000000000,4.000000000000000,8.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,12133.213993558836592,6047425.923876481130719
"186","150526111",47.273719292899997,-122.476802729599996,Tacoma,Pierce,15.961126327514648,30.447660446166992,28.781223297119141,"4873","172",A,#76a865,A1,Laburnum Park,"1","1",0.000165111210687,"[ [ 47.268430, -122.497790 ], [ 47.292470, -122.472850 ] ]","47.28,-122.486","1","0","0","150","060500","53053060500","053",Pierce,4.882384000000000,4.000000000000000,54.794338230000001,7.000000000000000,0.403305841000000,4.000000000000000,49394.989999999997963,5.000000000000000,1437.549999999999955,6.000000000000000,53.829999999999998,10.000000000000000,2.376057740000000,8.000000000000000,0.336638268000000,9.000000000000000,0.326007086000000,6.000000000000000,,,1.430000000000000,3.000000000000000,2.930000000000000,2.000000000000000,16.260000000000002,3.000000000000000,10.810000000000000,2.000000000000000,20.000000000000000,2.000000000000000,26.940000000000001,4.000000000000000,3.200000000000000,3.000000000000000,109.620000000000005,1.000000000000000,1.700000000000000,4.000000000000000,4.000000000000000,8.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,12133.213993558836592,6047425.923876481130719
"222","150528476",47.273726578500003,-122.476781465599998,Tacoma,Pierce,15.961126327514648,30.447660446166992,28.781223297119141,"4873","172",A,#76a865,A1,Laburnum Park,"1","1",0.000165111210687,"[ [ 47.268430, -122.497790 ], [ 47.292470, -122.472850 ] ]","47.28,-122.486","1","0","0","150","060500","53053060500","053",Pierce,4.882384000000000,4.000000000000000,54.794338230000001,7.000000000000000,0.403305841000000,4.000000000000000,49394.989999999997963,5.000000000000000,1437.549999999999955,6.000000000000000,53.829999999999998,10.000000000000000,2.376057740000000,8.000000000000000,0.336638268000000,9.000000000000000,0.326007086000000,6.000000000000000,,,1.430000000000000,3.000000000000000,2.930000000000000,2.000000000000000,16.260000000000002,3.000000000000000,10.810000000000000,2.000000000000000,20.000000000000000,2.000000000000000,26.940000000000001,4.000000000000000,3.200000000000000,3.000000000000000,109.620000000000005,1.000000000000000,1.700000000000000,4.000000000000000,4.000000000000000,8.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,12133.213993558836592,6047425.923876481130719
"223","150528757",47.272976257899998,-122.474550795599995,Tacoma,Pierce,15.835166931152344,30.409584045410156,28.278734207153320,"4873","172",A,#76a865,A1,Laburnum Park,"1","1",0.000165111210687,"[ [ 47.268430, -122.497790 ], [ 47.292470, -122.472850 ] ]","47.28,-122.486","1","0","0","150","060500","53053060500","053",Pierce,4.882384000000000,4.000000000000000,54.794338230000001,7.000000000000000,0.403305841000000,4.000000000000000,49394.989999999997963,5.000000000000000,1437.549999999999955,6.000000000000000,53.829999999999998,10.000000000000000,2.376057740000000,8.000000000000000,0.336638268000000,9.000000000000000,0.326007086000000,6.000000000000000,,,1.430000000000000,3.000000000000000,2.930000000000000,2.000000000000000,16.260000000000002,3.000000000000000,10.810000000000000,2.000000000000000,20.000000000000000,2.000000000000000,26.940000000000001,4.000000000000000,3.200000000000000,3.000000000000000,109.620000000000005,1.000000000000000,1.700000000000000,4.000000000000000,4.000000000000000,8.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,12133.213993558836592,6047425.923876481130719
"232","150529367",47.268918689200000,-122.472991766299998,Tacoma,Pierce,16.045473098754883,30.810199737548828,28.770009994506836,"4873","172",A,#76a865,A1,Laburnum Park,"1","1",0.000165111210687,"[ [ 47.268430, -122.497790 ], [ 47.292470, -122.472850 ] ]","47.28,-122.486","1","0","0","150","060500","53053060500","053",Pierce,4.882384000000000,4.000000000000000,54.794338230000001,7.000000000000000,0.403305841000000,4.000000000000000,49394.989999999997963,5.000000000000000,1437.549999999999955,6.000000000000000,53.829999999999998,10.000000000000000,2.376057740000000,8.000000000000000,0.336638268000000,9.000000000000000,0.326007086000000,6.000000000000000,,,1.430000000000000,3.000000000000000,2.930000000000000,2.000000000000000,16.260000000000002,3.000000000000000,10.810000000000000,2.000000000000000,20.000000000000000,2.000000000000000,26.940000000000001,4.000000000000000,3.200000000000000,3.000000000000000,109.620000000000005,1.000000000000000,1.700000000000000,4.000000000000000,4.000000000000000,8.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,12133.213993558836592,6047425.923876481130719
"187","150526159",47.266000643900000,-122.480872023000003,Tacoma,Pierce,16.362226486206055,31.485509872436523,29.719713211059570,"4870","172",A,#76a865,A2,Badgerow and Bullet Additions,"1","1",0.000059532539295,"[ [ 47.264510, -122.484000 ], [ 47.273750, -122.472850 ] ]","47.267,-122.478","1","0","0","135","060700","53053060700","053",Pierce,14.011639000000001,8.000000000000000,54.391929630000000,6.000000000000000,0.431182552000000,5.000000000000000,62658.620000000002619,6.000000000000000,2327.793333000000075,7.000000000000000,53.210000000000001,10.000000000000000,2.875932112000000,8.000000000000000,0.452578551000000,9.000000000000000,0.466802949000000,7.000000000000000,,,1.230000000000000,2.000000000000000,3.630000000000000,3.000000000000000,21.289999999999999,4.000000000000000,12.750000000000000,3.000000000000000,19.000000000000000,1.000000000000000,26.870000000000001,4.000000000000000,3.300000000000000,3.000000000000000,241.379999999999995,9.000000000000000,1.740000000000000,4.000000000000000,7.000000000000000,8.000000000000000,1.000000000000000,7.000000000000000,6.000000000000000,8579.352387555669338,4569929.940508154220879
"192","150526745",47.267619081900001,-122.472963785399998,Tacoma,Pierce,16.246980667114258,30.921703338623047,28.218000411987305,"4870","172",A,#76a865,A2,Badgerow and Bullet Additions,"1","1",0.000059532539295,"[ [ 47.264510, -122.484000 ], [ 47.273750, -122.472850 ] ]","47.267,-122.478","1","0","0","150","060500","53053060500","053",Pierce,4.882384000000000,4.000000000000000,54.794338230000001,7.000000000000000,0.403305841000000,4.000000000000000,49394.989999999997963,5.000000000000000,1437.549999999999955,6.000000000000000,53.829999999999998,10.000000000000000,2.376057740000000,8.000000000000000,0.336638268000000,9.000000000000000,0.326007086000000,6.000000000000000,,,1.430000000000000,3.000000000000000,2.930000000000000,2.000000000000000,16.260000000000002,3.000000000000000,10.810000000000000,2.000000000000000,20.000000000000000,2.000000000000000,26.940000000000001,4.000000000000000,3.200000000000000,3.000000000000000,109.620000000000005,1.000000000000000,1.700000000000000,4.000000000000000,4.000000000000000,8.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,12133.213993558836592,6047425.923876481130719
"193","150526748",47.266700330100001,-122.475174455499996,Tacoma,Pierce,16.349826812744141,31.092403411865234,28.409053802490234,"4870","172",A,#76a865,A2,Badgerow and Bullet Additions,"1","1",0.000059532539295,"[ [ 47.264510, -122.484000 ], [ 47.273750, -122.472850 ] ]","47.267,-122.478","1","0","0","135","060700","53053060700","053",Pierce,14.011639000000001,8.000000000000000,54.391929630000000,6.000000000000000,0.431182552000000,5.000000000000000,62658.620000000002619,6.000000000000000,2327.793333000000075,7.000000000000000,53.210000000000001,10.000000000000000,2.875932112000000,8.000000000000000,0.452578551000000,9.000000000000000,0.466802949000000,7.000000000000000,,,1.230000000000000,2.000000000000000,3.630000000000000,3.000000000000000,21.289999999999999,4.000000000000000,12.750000000000000,3.000000000000000,19.000000000000000,1.000000000000000,26.870000000000001,4.000000000000000,3.300000000000000,3.000000000000000,241.379999999999995,9.000000000000000,1.740000000000000,4.000000000000000,7.000000000000000,8.000000000000000,1.000000000000000,7.000000000000000,6.000000000000000,8579.352387555669338,4569929.940508154220879
