OBJECTID,SDOT Unit ID,SPR Unit ID,SDCI Unit ID,SPU Tree Unit ID,SPU Planting Unit ID,Pest Unit ID,Source Department,Scientific Name,Common Name,DBH,Ownership,Unit Description,GLOBALID,x,y,DN_AF1,lat,lon
"41576573",TRE-1115596,,,,,TRE-1115596,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"16",Private,9412 15TH AVE NE,ec21ce49-1a2b-4b5a-8d13-c3849d652b00,1276307.42433532,257691.42798388,86.3241653442383,47.6968664982,-122.3120158078
"41576728",TRE-1086825,,,,,TRE-1086825,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"6",Private,8812 42ND AV NE,97f35129-dfe0-4e11-8ba7-910eb25c24e7,1283603.85167156,256117.432772294,85.5449142456055,47.6929326581,-122.2822713496
"41576729",TRE-1086888,,,,,TRE-1086888,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"38",Private,4018 NE 88TH ST,768e1df8-4409-4b42-858a-712d75ffe494,1283037.35772581,255943.811072305,84.9954833984375,47.6924275000,-122.2845578946
"41576816",TRE-1080766,,,,,TRE-1080766,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"4",Seattle Department of Transportation,800 N 43RD ST,d2d69cd0-bc9b-4592-92d9-4bf174e1cac1,1265132.17601655,244300.858964548,86.6178970336914,47.6595660014,-122.3563113926
"41577282",TRE-46583,,,,,TRE-46583,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"25",Private,1203 20TH AVE E,5b495cfb-9275-419c-bea4-6f9bdb835b45,1277273.99982998,233525.999936879,87.7463912963867,47.6306803263,-122.3062134288
"41577356",TRE-84274,,,,,TRE-84274,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"6",Private,6360 BEACH DR SW,e0883471-f1b3-427a-b45b-e45f98c3d7f7,1253980.99982814,202778.99975121,86.9653091430664,47.5451438871,-122.3981265477
"41577542",TRE-31055,,,,,TRE-31055,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"53",Private,2457 4TH AV W,823140be-a5f3-4fec-9a55-44174837605b,1263442.99993297,237702.000115052,86.6095809936523,47.6413870455,-122.3626324422
"41577610",TRE-19573,,,,,TRE-19573,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"36",Private,11502 20TH AV NE,468f1a4f-a687-486a-a592-840160fb512e,1277755.0001803,263241.000218049,85.3283462524414,47.7121538518,-122.3065699515
"41577639",TRE-84305,,,,,TRE-84305,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"3",Private,6360 BEACH DR SW,49748638-0024-437c-aa01-76f09357d325,1253987.00014423,202753.000131294,86.9793395996094,47.5450729585,-122.3981001172
"41577655",TRE-25508,,,,,TRE-25508,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,3203 NE 104TH ST,1a4c817b-a836-4869-87ac-c28e0d184cec,1280776.79564589,260072.262132972,88.1802520751953,47.7036263046,-122.2940533282
"41577743",TRE-1141832,,,,,TRE-1141832,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Seattle Department of Transportation,4100 DELRIDGE WY SW MEDIAN,43aeccd8-0047-4240-be7f-cbac8d3949ec,1262713.14804623,209880.95995672,88.057502746582,47.5650912398,-122.3633488972
"41577833",TRE-1152587,,,,,TRE-1152587,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"26",Private,1234 MCGILVRA BLVD E,0e769553-f1b6-45b9-b3ca-47c5c44fb07e,1283488.23674531,233472.425240889,87.544921875,47.6308567273,-122.2810110984
"41577937",TRE-1147615,,,,,TRE-1147615,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"3",Private,2810 SHORELAND DR S,d4b6e6a3-9892-4d8b-a567-c4b37955bee3,1282182.62846415,214478.407454714,88.1497039794922,47.5787266368,-122.2848523770
"41577947",TRE-1148148,,,,,TRE-1148148,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"30",Private,4503 48TH AVE S,85ee92dc-9c83-4b62-9a6a-f18a6b835ebc,1284872.54335989,208638.158636555,87.6994323730469,47.5628570102,-122.2735130519
"41578020",TRE-1141831,,,,,TRE-1141831,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Seattle Department of Transportation,4100 DELRIDGE WY SW MEDIAN,4e5152fe-ea49-4522-a79a-270480757438,1262714.90165164,209931.496601045,88.1283569335938,47.5652298538,-122.3633458651
"41578021",TRE-1141861,,,,,TRE-1141861,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Seattle Department of Transportation,5000 DELRIDGE WY SW MEDIAN,bba2499f-43f2-4829-9463-5204cf61ea80,1262744.65290448,206530.487983137,89.4567031860352,47.5559094802,-122.3629515832
"41578022",TRE-1141882,,,,,TRE-1141882,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Seattle Department of Transportation,5600 DELRIDGE WY SW MEDIAN,30603c0e-18b7-459d-93ef-1ce4e4cae68f,1262694.24290031,204760.821246877,88.6781005859375,47.5510561648,-122.3630132476
"41578143",TRE-1137933,,,,,TRE-1137933,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"54",Private,22 HOWE ST,206f6a48-3111-4c43-a819-f4a9f1e68f49,1265054.14008339,235707.794129714,87.4946060180664,47.6360086050,-122.3559381324
"41578171",TRE-1136007,,,,,TRE-1136007,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,114 W GARFIELD ST,7e955d25-ccb0-486d-9ff5-5f0403018b1a,1264248.40055314,234852.726614133,87.2107620239258,47.6336211602,-122.3591368548
"41578195",TRE-1133933,,,,,TRE-1133933,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"10",Private,2583 7TH AVE W,66c02a36-7a80-4c1b-a3fd-1de8a3f49c92,1262414.36222647,238320.85320805,88.3099212646484,47.6430271745,-122.3668542766
