OBJECTID,SDOT Unit ID,SPR Unit ID,SDCI Unit ID,SPU Tree Unit ID,SPU Planting Unit ID,Pest Unit ID,Source Department,Scientific Name,Common Name,DBH,Ownership,Unit Description,GLOBALID,x,y,DN_AF1,lat,lon
"41603349",TRE-1134777,,,,,TRE-1134777,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"28",Private,3032 5TH AVE W,564f9354-dffc-4cd8-b0fc-377c0492a9bc,1263285.90215006,239915.145295054,87.0981674194336,47.6474445960,-122.3634480665
"41603351",TRE-1134779,,,,,TRE-1134779,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"4",Private,3032 5TH AVE W,dd475990-4fa5-4f25-9478-5ebd85e90dba,1263282.1869344,239911.106917307,87.0981674194336,47.6474333246,-122.3634628103
"41603361",TRE-1134709,,,,,TRE-1134709,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"17",Private,2149 8TH AVE W,b6d3d25e-cfdf-406a-bf5f-68278800e1c5,1262161.56909689,236946.091193795,89.7298049926758,47.6392452170,-122.3677683646
"41603373",TRE-1134723,,,,,TRE-1134723,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"9",Private,2125 8TH AVE W,1510bfb5-ca9c-414c-8bb6-8388332bd191,1262160.56877081,236705.82264547,89.5119781494141,47.6385866000,-122.3677529904
"41603405",TRE-1134681,,,,,TRE-1134681,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"24",Private,521 W HOWE ST,64c3a103-6d23-465d-88ca-eff4c03c7fdd,1262903.85927898,235698.389292881,87.0430526733398,47.6358658674,-122.3646573030
"41603406",TRE-1134682,,,,,TRE-1134682,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"30",Private,521 W HOWE ST,dbd85d7e-7a69-48d2-b7e4-de0381a540bc,1262920.43339281,235697.696708962,87.0239562988281,47.6358648731,-122.3645900351
"41603505",TRE-1134558,,,,,TRE-1134558,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"32",Private,2102 3RD AVE W,05c5fe35-f505-426a-a96c-a049ca9d9acf,1263856.61590365,236192.165536299,85.6772384643555,47.6372711877,-122.3608333921
"41603515",TRE-1134569,,,,,TRE-1134569,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"26",Private,1913 3RD AVE W,16d82a96-e6b3-4dea-9c66-0fc66ab42907,1263785.9631578,235971.80114764,85.9873809814453,47.6366633357,-122.3611021705
"41604077",TRE-1133940,,,,,TRE-1133940,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"9",Seattle Parks and Recreation,700 W RAYE ST,9eb2d5f9-1ad3-4fc7-aa11-804e84ba7c17,1262904.21065623,238370.430208638,87.8389511108398,47.6431898035,-122.3648715522
"41604081",TRE-1133866,,,,,TRE-1133866,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"16",Seattle Parks and Recreation,700 W RAYE ST,6deca4c3-a7c9-4a61-a872-44eb28cb34ec,1262247.78349139,239294.687218383,87.9176254272461,47.6456872960,-122.3676086404
"41604202",TRE-1133771,,,,,TRE-1133771,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"30",Private,1018 W ARMOUR ST,947f9d78-d3f8-4746-ae81-3fc9176500e2,1261401.66576105,239101.941868961,87.0395584106445,47.6451126979,-122.3710248706
"41604315",TRE-1133665,,,,,TRE-1133665,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"1",Private,2901 11TH AVE W,a00e87b6-b986-42d3-957f-b48ea9b6bbe5,1261259.86322315,239451.20494996,85.180305480957,47.6460622383,-122.3716283354
"41604601",TRE-1133300,,,,,TRE-1133300,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Private,3053 14TH AVE W,2d35b662-bad1-4fac-bf24-97fe7b7c1d93,1260441.1906479,240218.321525961,86.1849517822266,47.6481199480,-122.3750112315
"41604705",TRE-1133180,,,,,TRE-1133180,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"43",Private,3027 10TH AVE W,2df4a042-8c71-4564-a6a1-a3ee367568aa,1261555.49189697,240169.675297797,86.7811965942383,47.6480477156,-122.3704874723
"41604857",TRE-1133036,,,,,TRE-1133036,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"25",Private,1100 W EMERSON ST,f037ade9-8be6-4365-a629-4973f0702057,1261316.67249273,242272.875815794,87.1833114624023,47.6537993793,-122.3716267162
"41604874",TRE-1132975,,,,,TRE-1132975,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"5",Private,3436 12TH AVE W,baed6192-d47f-4e5e-8199-019f14217bd2,1261150.2026813,241439.766261548,86.7098236083984,47.6515067534,-122.3722344318
"41604925",TRE-1132954,,,,,TRE-1132954,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"5",Private,3457 12TH AVE W,f6e76810-cae2-4c3b-b46d-d4f21bb59efb,1261101.4944454,241676.688359886,87.0391006469727,47.6521534720,-122.3724512380
"41604995",TRE-1132874,,,,,TRE-1132874,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"28",Private,3424 11TH AVE W,2b7f243b-6ac9-4a3a-b724-f4c0cf57d3ae,1261352.77248615,241339.156226546,86.8223419189453,47.6512420889,-122.3714045590
"41605001",TRE-1132804,,,,,TRE-1132804,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"25",Private,3412 10TH AVE W,644ac5fe-caa0-4f5c-bd98-13f2f6e1bff5,1261685.03756964,241228.998310387,86.9256744384766,47.6509583488,-122.3700478236
"41605081",TRE-1132736,,,,,TRE-1132736,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"16",Private,625 W EMERSON ST,e8d02328-1d78-42dc-b31c-3e0ab01f4098,1262661.35123381,241237.458595306,87.2065124511719,47.6510349124,-122.3660881729
"41605082",TRE-1132737,,,,,TRE-1132737,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,625 W EMERSON ST,c54298b9-3916-4024-9cd0-da298fb3e678,1262660.70294115,241240.799139798,87.2065124511719,47.6510440333,-122.3660910726
"41605083",TRE-1132738,,,,,TRE-1132738,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"24",Private,625 W EMERSON ST,a2a03913-f4ec-4f65-90b1-0c37f6f4038b,1262659.23279972,241240.889362723,87.2065124511719,47.6510442003,-122.3660970434
"41605130",TRE-1132712,,,,,TRE-1132712,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"22",Seattle Department of Transportation,711 11TH AVE W,3b10a228-c117-4a30-bba7-f6b8e58f1079,1262433.97504814,241017.156870544,87.0864410400391,47.6504186599,-122.3669926949
"41605132",TRE-1132714,,,,,TRE-1132714,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,717 W CREMONA ST,e06a2b87-28ab-48e2-ab4b-d6c6f35daa0f,1262436.23062105,240727.950099885,86.8459014892578,47.6496260840,-122.3669601637
"41605152",TRE-1132655,,,,,TRE-1132655,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"41",Private,515 W EMERSON ST,bc3ae5f1-977e-4142-954d-d0554e5bed01,1263045.42658114,241094.617017463,87.3760147094727,47.6506643510,-122.3645186704
"41605910",TRE-1131795,,,,,TRE-1131795,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"3",Private,7038 24TH AVE NE,1576b3ca-b419-468d-92ec-e0d8a265c468,1278731.69146839,251684.85075821,86.350212097168,47.6805298379,-122.3017077470
"41605911",TRE-1131796,,,,,TRE-1131796,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"3",Private,7038 24TH AVE NE,55ad6008-865b-4b49-829e-12ef99960d18,1278731.85879089,251675.073218718,86.350212097168,47.6805030465,-122.3017063106
"41606090",TRE-1131610,,,,,TRE-1131610,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"3",Private,7309 21ST NE,55e6daff-7662-479b-95a1-5f675f8c4dcb,1277831.33172056,252101.309570968,85.9712982177734,47.6816241914,-122.3053944521
"41606189",TRE-1131484,,,,,TRE-1131484,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"9",Private,6537 20TH AVE NE,45e83170-8380-498e-8d6a-8327042c81ec,1277479.97546789,250388.919951141,86.7077560424805,47.6769121305,-122.3066874791
"41606497",TRE-1131123,,,,,TRE-1131123,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"1",Private,471 WHEELER ST,c94f6b32-0e00-4e62-a6cc-9c3e53bd7e29,1267171.9547454,237386.278305545,87.3989028930664,47.6407237990,-122.3474837648
"41606561",TRE-1131044,,,,,TRE-1131044,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"1",Private,1353 30TH AVE S,c79b9146-86e4-43bf-ac0e-ebb789734e00,1280053.58285348,219082.764059633,87.3764572143555,47.5912367562,-122.2938308650
"41606949",TRE-1130558,,,,,TRE-1130558,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"5",Private,7706 15TH AVE NE,92171396-4cf3-4c24-9a61-f1cc5ab0b80d,1276223.37889972,253419.881736964,86.006477355957,47.6851538645,-122.3120237632
"41607016",TRE-1130556,,,,,TRE-1130556,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"5",Private,7706 15TH AVE NE,1181b3ff-49f1-4cfe-af59-1ed37aff6d70,1276221.61512373,253427.737364307,86.006477355957,47.6851753037,-122.3120315354
"41607777",TRE-1130087,,,,,TRE-1130087,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"10",Private,8415 8TH AVE NE,a85e2e9a-7183-43fb-88c0-8d5ac07d0409,1274203.48398939,255321.417960137,87.6319274902344,47.6902592309,-122.3203719495
"41607844",TRE-1130083,,,,,TRE-1130083,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"10",Private,8415 8TH AVE NE,b73072ab-6197-4e20-aac1-4f27c27595b0,1274202.64114331,255334.773248389,87.6319274902344,47.6902957927,-122.3203764188
"41607845",TRE-1130085,,,,,TRE-1130085,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"10",Private,8415 8TH AVE NE,3d333596-b510-4b6f-952d-06e7ff493957,1274201.92789014,255322.195845723,87.6319274902344,47.6902612807,-122.3203783275
"41608140",TRE-1129738,,,,,TRE-1129738,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"5",Private,6206 WOODLNAD AVE N,53ae2c31-afad-45ed-b1dc-6fd97db995fc,1270522.65473689,249152.787580878,87.5578994750977,47.6731552978,-122.3348256905
"41608596",TRE-1064766,,,,,TRE-1064766,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,8603 22ND AVE SW,17793d2b-91a5-44cc-b070-c4e5f3d50743,1262715.24285831,195777.253256053,87.6819000244141,47.5264337921,-122.3622055567
"41609399",TRE-50873,,,,,TRE-50873,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Seattle Department of Transportation,2604 1ST AV,6e704de6-3dfe-48f7-8670-3c0fe0906b79,1266308.43711548,228286.81258063,86.3248519897461,47.6157359373,-122.3502583509
"41609948",TRE-1073799,,,,,TRE-1073799,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Private,2000 FAIRVIEW AVE E,ed74e826-228a-4382-b96e-7b744b52843d,1271577.13622373,235920.157222047,88.1239166259766,47.6369414030,-122.3295022491
"41609957",TRE-1073972,,,,,TRE-1073972,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"8",Private,2940 FAIRVIEW AVE E,1d9cc723-cc97-44f4-927a-376943f5079a,1272785.42350531,240143.08644022,87.7781753540039,47.6485806274,-122.3249341767
"41610207",TRE-1080768,,,,,TRE-1080768,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"7",Seattle Department of Transportation,800 N 43RD ST,fa4d544c-0268-45ed-9793-12aacf9c877a,1264994.99715707,244303.554169133,86.6818389892578,47.6595659454,-122.3568681570
"41610208",TRE-1080780,,,,,TRE-1080780,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"5",Seattle Department of Transportation,800 N 43RD ST,d1a03a5a-2681-4208-b5ae-7fb6c8f5adb8,1265055.20208915,244285.375399724,86.6890411376953,47.6595193854,-122.3566224397
"41610263",TRE-1082857,,,,,TRE-1082857,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"25",Seattle Department of Transportation,26TH AVE NW AT NW 60TH ST,5c6c7e05-c116-4c86-bd91-6c5e3730968c,1256951.47026515,249124.732190803,86.3372573852539,47.6723392307,-122.3898969277
"41610378",TRE-1086808,,,,,TRE-1086808,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"13",Private,3825 NE 87TH ST,79f9e4c8-9572-4b64-a372-2510ff945ac4,1282480.65772372,255645.575448304,87.4172286987305,47.6915812373,-122.2867950789
"41610379",TRE-1086821,,,,,TRE-1086821,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"14",Private,8812 42ND AV NE,70ce10de-9042-4382-9293-c5353ea8be9a,1283628.79322273,256115.227068052,85.5449142456055,47.6929278995,-122.2821699238
"41610387",TRE-1087097,,,,,TRE-1087097,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"9",Private,4584 NE 89TH ST,2bbf55cd-523b-4eca-92bf-3d518ef2db48,1284687.25403231,256324.189576641,88.715950012207,47.6935552116,-122.2778887292
"41610711",TRE-1094159,,,,,TRE-1094159,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"21",Seattle Parks and Recreation,1320 N 34TH ST,5db61d6f-4d93-4b46-91dc-00abf1c48936,1269362.88277823,239713.68244338,88.5756607055664,47.6472209510,-122.3387828105
"41610725",TRE-1094753,,,,,TRE-1094753,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"4",Private,3729 DENSMORE AVE N,2420002e-5ac9-49f4-8feb-9cd2f3ceeaa6,1269700.9437819,241742.713818386,86.8455047607422,47.6528005719,-122.3375724728
"41610948",TRE-1103392,,,,,TRE-1103392,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"25",Private,2642 NW 95TH ST,68ba944b-3f63-49ff-b546-ed747a7a393c,1256764.27378914,258475.053385139,87.4104385375977,47.6979573444,-122.3914249163
"41610999",TRE-1104895,,,,,TRE-1104895,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"13",Private,357 NW 90TH ST,39a3cc75-01a6-47f8-bac6-8858a1e8323b,1263670.27014773,256926.932137549,87.6929092407227,47.6940938795,-122.3632609847
"41611304",TRE-1112856,,,,,TRE-1112856,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"14",Private,4706 47TH AVE S,b2f20381-892f-41d3-9136-131be081783c,1284645.53790839,207727.774302468,87.5675582885742,47.5603499871,-122.2743633012
"41611322",TRE-1114625,,,,,TRE-1114625,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"50",Private,9515 32ND AVE NE,89a40bd4-597c-429e-bebd-5af6692a1f4d,1280899.65727681,257955.465185463,88.2880096435547,47.6978305822,-122.2933913392
"41611381",TRE-1114318,,,,,TRE-1114318,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"8",Private,10533 RAVENNA AVE NE,6e9259ef-96df-435f-b2c5-4dd2d540f00a,1280126.28054273,260815.452247635,88.4300231933594,47.7056294986,-122.2967522034
"41611396",TRE-1115930,,,,,TRE-1115930,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"6",Private,1040 NE NORTHGATE WAY,262946fe-2899-4599-be85-395b4020efcf,1275405.76734598,262398.683333129,87.0105590820312,47.7097214017,-122.3160448492
"41611397",TRE-1115936,,,,,TRE-1115936,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Private,1040 NE NORTHGATE WAY,0760f395-d39a-4b85-857b-ccdf59ffa5a1,1275364.93146965,262409.193154633,87.1948471069336,47.7097480519,-122.3162115085
"41611403",TRE-1116240,,,,,TRE-1116240,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"11",Private,1922 NE 107TH ST,7bb2851a-b5dd-4afc-ba39-718bf43c90e9,1277597.36302839,261264.154434219,87.2963104248047,47.7067270884,-122.3070563921
"41611537",TRE-1121529,,,,,TRE-1121529,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"16",Private,2100 W COMMODORE WAY,266f76e9-1027-45be-a7d2-f4ff576e164b,1258471.10272457,244347.147913963,85.5281143188477,47.6593283032,-122.3833396118
"41611599",TRE-1124076,,,,,TRE-1124076,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"6",Private,4860 PUGET BLVD SW,37d0201c-8966-4d0a-9223-86cf3cadc5ca,1263124.21841832,207193.806538388,87.431282043457,47.5577482752,-122.3614680538
"41611608",TRE-1124382,,,,,TRE-1124382,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,1811 SW DAKOTA ST,afe38c65-5217-4ce4-8373-df3fbc3710b4,1264148.12844397,210382.732903302,87.1665573120117,47.5665446363,-122.3575778563
"41611636",TRE-1124906,,,,,TRE-1124906,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Seattle Department of Transportation,FAUNTLEROY WAY SW,51dec127-f1ec-42eb-96c7-5fb6e66be1b9,1259985.28440748,210077.845389724,88.3329238891602,47.5654816824,-122.3744119498
"41611774",TRE-1128675,,,,,TRE-1128675,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Seattle Department of Transportation,7115 2ND AVE SW,d884474a-c9f7-4b2a-915f-bb055c7f29e2,1268188.18762106,200631.926945627,89.1397018432617,47.5400361910,-122.3404426938
"41611958",TRE-1132735,,,,,TRE-1132735,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"22",Private,625 W EMERSON ST,4759dadb-c2f3-4348-9088-6a6c7ffffdc0,1262664.12977156,241238.86443238,87.2065124511719,47.6510389174,-122.3660770156
"41612024",TRE-1134784,,,,,TRE-1134784,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"28",Private,3032 5TH AVE W,005e3682-0ce3-48e5-8639-982e75df5d13,1263277.66397756,239928.39100346,87.0981674194336,47.6474804528,-122.3634825502
"41612306",TRE-1141843,,,,,TRE-1141843,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Seattle Department of Transportation,4700 DELRIDGE WY SW MEDIAN,2e05e191-7fd9-45a2-b512-ea4e18108b62,1262790.60786507,208182.210401461,87.7127227783203,47.5604392732,-122.3628984536
"41612309",TRE-1141865,,,,,TRE-1141865,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Seattle Department of Transportation,5200 DELRIDGE WY SW MEDIAN,60872399-6385-4890-90c6-04c336cba5c5,1262736.15259339,206220.859993473,89.1427764892578,47.5550603421,-122.3629610789
"41612335",TRE-1142143,,,,,TRE-1142143,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"4",Seattle Department of Transportation,2701 1ST AVE S,9960a673-ec49-47fe-a57f-e5c361d80579,1269844.53470206,219673.983021557,83.667106628418,47.5923186193,-122.3352425896
"41612450",TRE-1145595,,,,,TRE-1145595,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"29",Private,3300 S HORTON ST,7fd1a53b-218c-416c-a3d3-9af5d5aa7912,1278036.74239898,212833.740140378,88.1333694458008,47.5740030109,-122.3015196425
"41612537",TRE-1148965,,,,,TRE-1148965,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"30",Private,214 EUCLID AVE,c2e3a357-809d-4028-974d-b4a4ef986012,1281570.04865256,223511.478955463,87.1187286376953,47.6034545961,-122.2880256242
"41612539",TRE-1149036,,,,,TRE-1149036,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"17",Private,235 E ALDER ST,b8e4147b-d408-457b-b80e-cb287398ee10,1280960.73491056,223895.371888474,86.5559997558594,47.6044752456,-122.2905245090
"41612548",TRE-1149389,,,,,TRE-1149389,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"40",Private,1126 36TH AVE,6eafa0f5-0679-40c3-b156-90b260811c89,1281881.60839689,226775.964224383,87.4134368896484,47.6124186909,-122.2870128807
"41612549",TRE-1149464,,,,,TRE-1149464,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,1442 MADRONA DR,27338dfb-7900-4511-9845-c8ee2e14e094,1283004.60188581,227157.833539382,88.0204620361328,47.6135234564,-122.2824899816
"41612615",TRE-1151924,,,,,TRE-1151924,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,610 HILLSIDE DR E,8994dc51-5b13-487e-94c9-ab8eb1bea994,1282411.06304665,231433.823346972,87.6470565795898,47.6252132859,-122.2852229888
"41612623",TRE-1152218,,,,,TRE-1152218,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"41",Private,441 26TH AVE E,fe51f54f-a08b-45ba-b233-9d48b8d6b82d,1279088.06149057,230982.855744973,86.9377288818359,47.6238045288,-122.2986612055
"41613111",TRE-1102947,,,,,TRE-1102947,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Private,2114 NW 99TH ST,4226717a-16d7-4678-a07d-a2fdf4b844f4,1258818.46882772,259608.873624057,87.0896987915039,47.7011787660,-122.3831774667
"41613450",TRE-84313,,,,,TRE-84313,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Private,6360 BEACH DR SW,11061670-a883-4964-89c2-2d9afcee5878,1253984.00015023,202766.999775216,86.9653091430664,47.5451111633,-122.3981134141
"41613494",TRE-13190,,,,,TRE-13190,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"13",Private,6585 NE WINDERMERE RD,db0f0b7d-4d45-4580-a4e4-6b83ad21adc1,1289976.00001648,248469.000234544,87.4560470581055,47.6722941442,-122.2558276471
"41613497",TRE-13260,,,,,TRE-13260,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"6",Private,6047 NE 61ST ST,f8e8359a-b8d2-4fbc-b710-ac45a5c4da70,1288601.00014181,248670.999830544,87.4738998413086,47.6727780175,-122.2614228678
"41613831",TRE-18689,,,,,TRE-18689,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"39",Private,11352 14TH AV NE,9c68db8d-7dc9-4386-a48c-4b5dec170365,1275989.99977331,263166.000039965,87.3237686157227,47.7118554280,-122.3137321982
"41613957",TRE-24639,,,,,TRE-24639,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"30",Private,1043 NE 103RD ST,021a3786-787c-4fe0-a85d-e03336589686,1275383.22703673,259966.346006215,86.6284408569336,47.7030532440,-122.3159460609
"41614063",TRE-44872,,,,,TRE-44872,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"21",Private,735 BELMONT AVE E,ee79f45e-2135-41df-a158-f917aea12894,1272543.40758514,231925.460815132,87.833122253418,47.6260434784,-122.3252695634
"41614065",TRE-19723,,,,,TRE-19723,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"33",Private,11706 EXETER AV NE,f9c1a065-b7b1-42f3-8b8f-67b7211bfdca,1284284.99991556,263807.999740213,87.5322723388672,47.7140475974,-122.2800930691
"41614144",TRE-25774,,,,,TRE-25774,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"25",Private,1709 NE 92ND ST,f9deb7f1-8d99-4567-b768-a3d553cd0f1f,1277022.01050456,257270.689324051,86.1490783691406,47.6957508653,-122.3090817842
"41614167",TRE-45639,,,,,TRE-45639,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"13",Private,2811 E ALOHA ST,5480de25-bc43-4682-9524-ca009b991e79,1279764.00009932,231991.000054136,87.34326171875,47.6266030952,-122.2959983954
"41614288",TRE-2721,,,,,TRE-2721,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"40",Private,5121 PALMER DR NW,f501515c-9864-46af-b522-31ee71a95997,1264871.02430789,246797.088224053,87.390983581543,47.6663938631,-122.3575715249
"41614903",TRE-85770,,,,,TRE-85770,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"52",Private,7617 46TH AVE S,f041fbe7-3ceb-4fe2-b304-c3223f9703e5,1284208.13195907,198185.361300722,87.7306823730469,47.5341716676,-122.2754103750
"41615316",TRE-71379,,,,,TRE-71379,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"38",Seattle Parks and Recreation,1 MT ST HELENS PL S,46972391-ae65-4778-b836-245b8b97a907,1281793.99997631,213760.000098884,87.1840057373047,47.5767373752,-122.2863717064
"41616148",TRE-1070698,,,,,TRE-1070698,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"27",Private,720 S ORCHARD ST,633a2858-6b12-4966-877f-ce42bd2448ec,1271966.13905464,200101.417836055,86.6024017333984,47.5387838703,-122.3251085798
"41616372",TRE-1080348,,,,,TRE-1080348,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"1",Private,BAKER AVE NW AT NW MARKET ST,ba86381a-27df-4621-9565-4975be9ed1a9,1264324.78688331,246450.18767114,87.7442092895508,47.6654133476,-122.3597600295
"41616527",TRE-1086406,,,,,TRE-1086406,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"6",Private,9521 49TH AVE NE,aa7fa8c1-0071-4851-be9e-39d2eaaeb758,1285263.48549139,257733.724487215,87.6651611328125,47.6974483745,-122.2756565885
"41616533",TRE-1086705,,,,,TRE-1086705,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"33",Private,4503 NE 93RD ST,4e7ccf45-db50-47bd-a490-85a502109a52,1284250.2785283,257284.300845385,87.6783065795898,47.6961643749,-122.2797360448
"41616537",TRE-1086828,,,,,TRE-1086828,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"6",Private,8812 42ND AV NE,dfbafdaf-0c06-4f65-8a3f-9ba9d3320562,1283589.5144299,256116.329756141,85.624641418457,47.6929288947,-122.2823294713
"41616675",TRE-1092552,,,,,TRE-1092552,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"3",Private,111 10TH AVE S,70ede52f-468d-40a6-8b41-1b0cef6ec143,1273653.11140248,222737.515280306,89.4797744750977,47.6009184103,-122.3200504764
"41616959",TRE-1103514,,,,,TRE-1103514,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,ee9fc2fb-ffe2-4a39-8aa8-de4a515a7210,1256381.10198331,258470.685283631,87.3103332519531,47.6979240947,-122.3929802562
"41617044",TRE-1106630,,,,,TRE-1106630,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Seattle Department of Transportation,8402 30TH AVE SW,ba862d9a-c41a-42a6-bb01-502c9934fa85,1261770.44651955,195274.742778137,88.7983245849609,47.5250049184,-122.3659883834
"41617071",TRE-1107812,,,,,TRE-1107812,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"8",Private,308 31ST AVE,d6474876-ba14-41ea-a1eb-fa6e2921af96,1280449.58337381,223936.432829961,85.866584777832,47.6045612421,-122.2925992949
"41617150",TRE-1110992,,,,,TRE-1110992,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"18",Private,6119 51ST AVE S,2cf4cd79-e261-46f1-a09b-3f924f0e2473,1285630.74131855,202890.229187548,87.5112762451172,47.5471407106,-122.2700080121
"41617186",TRE-1112332,,,,,TRE-1112332,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,5005 WILSON AVE S,cbc54cf1-8738-431c-950c-7a8ca949f614,1285513.63689397,206361.697310224,87.2581558227539,47.5566500585,-122.2707446346
"41617202",TRE-1112858,,,,,TRE-1112858,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"10",Private,4702 47TH AVE S,590b2aaa-61d3-4352-bb5f-44f38d8eccf9,1284643.43325381,207762.735518634,87.5520401000977,47.5604457082,-122.2743744752
"41617281",TRE-1115932,,,,,TRE-1115932,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Private,1040 NE NORTHGATE WAY,63936713-1861-42dd-b4ff-9deab53406b9,1275386.94323665,262398.234843224,87.0105590820312,47.7097191782,-122.3161212599
